year,recipient_id,recipient_name,recipient_postcode,recipient_location,agency,scheme,amount,country,currency
2015,GB-NE61-NORTHUMBERLAND COUNTY COUNCIL,NORTHUMBERLAND COUNTY COUNCIL,NE61,MORPETH,RPA,Basic services for the economy and rural population,"404,064.44",GB,GBP
2014,GB-OX12-BEN SMITH & SONS (WANTAGE) LTD.,BEN SMITH & SONS (WANTAGE) LTD.,OX12,WANTAGE,RPA,Single area payment scheme,"403,873.26",GB,GBP
2014,GB-SA67-PLANED,PLANED,SA67,PEMBS,WG,Implementing local development strategies. Quality of life/diversification,"403,845.54",GB,GBP
2014,GB-PA34-Mr M Harrison,Mr M Harrison,PA34,Oban,SGRPID,First afforestation of agricultural land,"403,281.16",GB,GBP
2014,GB-FK16-Hawk Farming Ltd,Hawk Farming Ltd,FK16,Doune,SGRPID,Single area payment scheme,"402,678.77",GB,GBP
2015,GB-DN14-H Barker & Sons,H Barker & Sons,DN14,GOOLE,RPA,Single area payment scheme,"402,528.55",GB,GBP
2014,GB-LL26-CONWY COUNTY BOROUGH COUNCIL,CONWY COUNTY BOROUGH COUNCIL,LL26,CONWY,WG,Implementing local development strategies. Quality of life/diversification,"402,304.51",GB,GBP
2014,GB-YO62-The Bransdale Moor ESS Partnership,The Bransdale Moor ESS Partnership,YO62,YORK,RPA,Agri-environment payments,"401,025.52",GB,GBP
2015,GB-DD8-Balnaboth Home Farm,Balnaboth Home Farm,DD8,KIRRIEMUIR,SGRPID,Investment in forest area development and improvement of the viability of forests,"400,446.67",GB,GBP
2014,GB-PH2-KILLUNDINE FARM,KILLUNDINE FARM,PH2,PERTH,SGRPID,First afforestation of agricultural land,"399,304.64",GB,GBP
2014,GB-SO21-F J BUNNEY & SONS,F J BUNNEY & SONS,SO21,Winchester,RPA,Single area payment scheme,"399,090.68",GB,GBP
2015,GB-PH33-Broadland Properties Ltd,Broadland Properties Ltd,PH33,ARDGOUR,SGRPID,Investment in forest area development and improvement of the viability of forests,"399,083.28",GB,GBP
2015,GB-LN11-AW SMITH & SONS LTD,AW SMITH & SONS LTD,LN11,LOUTH,RPA,Single area payment scheme,"398,382.08",GB,GBP
2014,GB-PE31-HARROLD & PARTNERS G W,HARROLD & PARTNERS G W,PE31,KING'S LYNN,RPA,Single area payment scheme,"397,750.04",GB,GBP
2015,GB-SP3-E GRANT & SONS,E GRANT & SONS,SP3,SALISBURY,RPA,Single area payment scheme,"397,292.38",GB,GBP
2014,GB-SG8-Cokenach Limited,Cokenach Limited,SG8,Nr ROYSTON,RPA,Single area payment scheme,"395,574.36",GB,GBP
2014,GB-DN6-WILLIAM R PLATT,WILLIAM R PLATT,DN6,DONCASTER,RPA,Single area payment scheme,"395,310.32",GB,GBP
2015,GB-CV37-Sandfields Farms Ltd,Sandfields Farms Ltd,CV37,STRATFORD-UPON-AVON,RPA,Single area payment scheme,"394,918.54",GB,GBP
2014,GB-NE71-SAC Consulting Ltd,SAC Consulting Ltd,NE71,WOOLER,RPA,Implementing local development strategies. Competitiveness,"394,813.63",GB,GBP
2015,GB-BT44-MCKEOWN FINE FOODS LTD,MCKEOWN FINE FOODS LTD,BT44,BALLYMENA,DAERA,Investments in physical assets,"394,154.0",GB,GBP
2014,GB-LN13-J WHARTON (AGRICULTURE) LTD,J WHARTON (AGRICULTURE) LTD,LN13,ALFORD,RPA,Single area payment scheme,"394,116.67",GB,GBP
2014,GB-N6 6-Alistair Douglas,Alistair Douglas,N6 6,London,SGRPID,First afforestation of agricultural land,"393,975.1",GB,GBP
2014,GB-SY23-MENTER A BUSNES,MENTER A BUSNES,SY23,CEREDIGION,WG,"Development of new products, processes and technologies","393,930.68",GB,GBP
2014,GB-CO10-BOXFORD (SUFFOLK) FARMS LTD,BOXFORD (SUFFOLK) FARMS LTD,CO10,SUDBURY,RPA,Adding value to agricultural and forestry products,"393,158.4",GB,GBP
2014,GB-CA10-Moorhouse Commoners Committee,Moorhouse Commoners Committee,CA10,PENRITH,RPA,Agri-environment payments,"392,959.07",GB,GBP
2014,GB-NE46-Allendale & Hexhamshire Commons Ass'n,Allendale & Hexhamshire Commons Ass'n,NE46,HEXHAM,RPA,Agri-environment payments,"392,709.38",GB,GBP
2015,GB-BT20-ARDS & NORTH DOWN BOROUGH COUNCIL,ARDS & NORTH DOWN BOROUGH COUNCIL,BT20,BANGOR,DAERA,Implementing local development strategies. Quality of life/diversification,"392,487.6",GB,GBP
2014,GB-NG32-G R Ward & Co,G R Ward & Co,NG32,GRANTHAM,RPA,Single area payment scheme,"392,431.83",GB,GBP
2015,GB-SY23-AU FARMS,AU FARMS,SY23,CEREDIGION,WG,"Development of new products, processes and technologies","391,756.85",GB,GBP
2014,GB-NE46-Hadrians Wall Heritage Ltd.,Hadrians Wall Heritage Ltd.,NE46,HEXHAM,RPA,Encouragement of tourism activities,"390,831.04",GB,GBP
2014,GB-BT64-CRAIGAVON BOROUGH COUNCIL-SOAR,CRAIGAVON BOROUGH COUNCIL-SOAR,BT64,CRAIGAVON,DARDNI,"Running the local action group, acquiring skills and animating the territory","390,653.01",GB,GBP
2014,GB-CF44-THE WELSH WHISKY CO LTD,THE WELSH WHISKY CO LTD,CF44,ABERDARE,WG,Adding value to agricultural and forestry products,"390,550.5",GB,GBP
2015,GB-PH1-Pitcastle Estate Management,Pitcastle Estate Management,PH1,PERTH,SGRPID,Investment in forest area development and improvement of the viability of forests,"390,410.52",GB,GBP
2015,GB-FK5-Malcolm Allan Ltd,Malcolm Allan Ltd,FK5,LARBERT,SGRPID,Investments in physical assets,"390,000.0",GB,GBP
2014,GB-GL9-SWANGROVE FARMS,SWANGROVE FARMS,GL9,Badminton,RPA,Single area payment scheme,"389,472.42",GB,GBP
2014,GB-BA14-Wiltshire Council,Wiltshire Council,BA14,Trowbridge,RPA,Implementing local development strategies. Quality of life/diversification,"388,013.16",GB,GBP
2015,GB-EH26-Glencorse Association,Glencorse Association,EH26,Penicuik,SGRPID,Basic services and village renewal in rural areas,"387,806.96",GB,GBP
2015,GB-BT27-LISBURN CITY COUNCIL,LISBURN CITY COUNCIL,BT27,LISBURN,DAERA,Implementing local development strategies. Quality of life/diversification,"387,627.28",GB,GBP
2015,GB-NR1-NORFOLK WILDLIFE TRUST,NORFOLK WILDLIFE TRUST,NR1,NORWICH,RPA,Single area payment scheme,"387,142.13",GB,GBP
2014,GB-DL13-Stanhope Common Association,Stanhope Common Association,DL13,BISHOP AUCKLAND,RPA,Agri-environment payments,"386,929.78",GB,GBP
2015,GB-GL54-ROPSLEY FARMS LTD,ROPSLEY FARMS LTD,GL54,CHELTENHAM,RPA,Single area payment scheme,"386,433.97",GB,GBP
2015,GB-EX2-Devon County Council,Devon County Council,EX2,Exeter,RPA,Business creation and development,"386,335.32",GB,GBP
2014,GB-L31-Mortons Dairies Ltd,Mortons Dairies Ltd,L31,LIVERPOOL,RPA,Adding value to agricultural and forestry products,"384,108.85",GB,GBP
2014,GB-ME9-F D Attwood & Partners,F D Attwood & Partners,ME9,SITTINGBOURNE,RPA,Single area payment scheme,"383,520.89",GB,GBP
2014,GB-IP21-THELVETON FARMS,THELVETON FARMS,IP21,DISS,RPA,Single area payment scheme,"382,413.4",GB,GBP
2015,GB-EH46-Glenrath Egg Products Ltd,Glenrath Egg Products Ltd,EH46,West Linton,SGRPID,Investments in physical assets,"381,876.0",GB,GBP
2015,GB-BT79-OMAGH DISTRICT COUNCIL,OMAGH DISTRICT COUNCIL,BT79,OMAGH,DAERA,Implementing local development strategies. Quality of life/diversification,"381,444.89",GB,GBP
2014,GB-IP24-R G ABREY FARMS,R G ABREY FARMS,IP24,THETFORD,RPA,Single area payment scheme,"379,509.66",GB,GBP
2014,GB-NG22-THORESBY HOME FARM,THORESBY HOME FARM,NG22,NEWARK,RPA,Single area payment scheme,"379,260.34",GB,GBP
2015,GB-TN11-JUDDMONTE FARMS LTD,JUDDMONTE FARMS LTD,TN11,TONBRIDGE,RPA,Single area payment scheme,"378,856.01",GB,GBP
2014,GB-BH21-CRICHEL FARMS LTD,CRICHEL FARMS LTD,BH21,WIMBORNE,RPA,Single area payment scheme,"378,807.42",GB,GBP
2014,GB-SA32-COLEG SIR GAR,COLEG SIR GAR,SA32,SIR GAERFYRDDIN,WG,"Development of new products, processes and technologies","378,404.26",GB,GBP
2014,GB-EX2-Devon County Council,Devon County Council,EX2,Exeter,RPA,Business creation and development,"378,399.34",GB,GBP
2014,GB-DG11-Charles M Kirkpatrick,Charles M Kirkpatrick,DG11,Lockerbie,SGRPID,Single area payment scheme,"378,272.62",GB,GBP
2015,GB-CB7-P J LEE & SONS,P J LEE & SONS,CB7,ELY,RPA,Single area payment scheme,"377,219.59",GB,GBP
2014,GB-BH20-ACF (DRAX FARM),ACF (DRAX FARM),BH20,WAREHAM,RPA,Single area payment scheme,"376,497.0",GB,GBP
2015,GB-SN9-Wookey Joseph,Wookey Joseph,SN9,"Rushall, Pewsey",RPA,Single area payment scheme,"376,307.2",GB,GBP
2014,GB-AB31-Tillypronie Trust Estate,Tillypronie Trust Estate,AB31,Banchory,SGRPID,First afforestation of non-agricultural land,"376,304.08",GB,GBP
2014,GB-TN36-JACK MERRICKS FARMS RYE LTD,JACK MERRICKS FARMS RYE LTD,TN36,WINCHELSEA,RPA,Single area payment scheme,"376,220.44",GB,GBP
2015,GB-SP11-Biddesden House Farm Partnership,Biddesden House Farm Partnership,SP11,ANDOVER,RPA,Single area payment scheme,"375,456.69",GB,GBP
2015,GB-PH2-IAN WHITE LTD,IAN WHITE LTD,PH2,PERTH,SGRPID,Single area payment scheme,"375,281.53",GB,GBP
2014,GB-CA19-Eskdale & Scafell Commoners Association,Eskdale & Scafell Commoners Association,CA19,Holmrook,RPA,Agri-environment payments,"374,746.41",GB,GBP
2015,GB-HU16-Growco Limited,Growco Limited,HU16,COTTINGHAM,RPA,Aid in fruit and vegetables sector,"374,721.62",GB,GBP
2015,GB-PH26-F Laing,F Laing,PH26,MORAYSHIRE,SGRPID,Investment in forest area development and improvement of the viability of forests,"373,171.2",GB,GBP
2014,GB-ME9-G H DEAN & CO LTD,G H DEAN & CO LTD,ME9,SITTINGBOURNE,RPA,Single area payment scheme,"372,886.67",GB,GBP
2014,GB-OX15-TRUSTEES OF A DEELEY,TRUSTEES OF A DEELEY,OX15,BANBURY,RPA,Single area payment scheme,"372,762.64",GB,GBP
2014,GB-TN36-JACK MERRICKS FARMS RYE LTD,JACK MERRICKS FARMS RYE LTD,TN36,WINCHELSEA,RPA,Agri-environment payments,"372,719.04",GB,GBP
2014,GB-PE22-A.E.LENTON ESTATES LTD,A.E.LENTON ESTATES LTD,PE22,BOSTON,RPA,Single area payment scheme,"372,701.58",GB,GBP
2014,GB-BT71-COUNTRYSIDE SERVICES LIMITED,COUNTRYSIDE SERVICES LIMITED,BT71,DUNGANNON,DARDNI,"Development of new products, processes and technologies","372,349.32",GB,GBP
2014,GB-CB7-P J LEE & SONS,P J LEE & SONS,CB7,ELY,RPA,Single area payment scheme,"371,549.95",GB,GBP
2014,GB-SP5-LONGFORD FARMS LTD,LONGFORD FARMS LTD,SP5,SALISBURY,RPA,Single area payment scheme,"371,237.88",GB,GBP
2014,GB-NG34-THE HAVERHOLME FARM PARTNERSHIP,THE HAVERHOLME FARM PARTNERSHIP,NG34,SLEAFORD,RPA,Single area payment scheme,"370,561.34",GB,GBP
2015,GB-TN36-JACK MERRICKS FARMS RYE LTD,JACK MERRICKS FARMS RYE LTD,TN36,WINCHELSEA,RPA,Single area payment scheme,"370,511.73",GB,GBP
2014,GB-DG2-Crochmore Farms Limited,Crochmore Farms Limited,DG2,Dumfries,SGRPID,Single area payment scheme,"369,002.19",GB,GBP
2014,GB-MK17-WOBURN FARMING PARTNERSHIP,WOBURN FARMING PARTNERSHIP,MK17,WOBURN,RPA,Single area payment scheme,"368,967.88",GB,GBP
2015,GB-NE71-LILBURN ESTATES FARMING PARTNERSHIP,LILBURN ESTATES FARMING PARTNERSHIP,NE71,WOOLER,RPA,Agri-environment-climate,"368,817.82",GB,GBP
2015,GB-OX12-Payne Sarah,Payne Sarah,OX12,Ardington,RPA,Single area payment scheme,"367,682.46",GB,GBP
2015,GB-PE31-HARROLD & PARTNERS G W,HARROLD & PARTNERS G W,PE31,KING'S LYNN,RPA,Single area payment scheme,"367,505.52",GB,GBP
2014,GB-PE12-PROCTOR BROS LONG SUTTON LTD,PROCTOR BROS LONG SUTTON LTD,PE12,SPALDING,RPA,Single area payment scheme,"367,001.04",GB,GBP
2014,GB-LN6-GH Chennells Farms Ltd,GH Chennells Farms Ltd,LN6,LINCOLN,RPA,Single area payment scheme,"366,131.94",GB,GBP
2015,GB-OX12-BEN SMITH & SONS (WANTAGE) LTD.,BEN SMITH & SONS (WANTAGE) LTD.,OX12,WANTAGE,RPA,Single area payment scheme,"365,915.86",GB,GBP
2015,GB-IP21-THELVETON FARMS,THELVETON FARMS,IP21,DISS,RPA,Single area payment scheme,"365,846.2",GB,GBP
2014,GB-YO17-THE BIRDSALL BEEF CO LTD,THE BIRDSALL BEEF CO LTD,YO17,MALTON,RPA,Single area payment scheme,"365,795.85",GB,GBP
2015,GB-DH1-Forestry Resources Durham County Council,Forestry Resources Durham County Council,DH1,DURHAM,RPA,Encouragement of tourism activities,"365,361.08",GB,GBP
2014,GB-EH26-Glencorse Association,Glencorse Association,EH26,Penicuik,SGRPID,Basic services for the economy and rural population,"364,723.54",GB,GBP
2014,GB-EX9-East Devon Heaths Land Management Company Limited,East Devon Heaths Land Management Company Limited,EX9,BUDLEIGH SALTERTON,RPA,Agri-environment payments,"364,326.68",GB,GBP
2015,GB-GL7-Watermoor Meat Supply Ltd,Watermoor Meat Supply Ltd,GL7,CIRENCESTER,RPA,Adding value to agricultural and forestry products,"363,172.57",GB,GBP
2014,GB-NR21-RAYNHAM FARM CO LTD,RAYNHAM FARM CO LTD,NR21,FAKENHAM,RPA,Single area payment scheme,"362,629.14",GB,GBP
2014,GB-HU16-Growco Limited,Growco Limited,HU16,COTTINGHAM,RPA,Aid in fruit and vegetables sector,"362,618.45",GB,GBP
2014,GB-PO18-DAVID LANGMEAD,DAVID LANGMEAD,PO18,CHICHESTER,RPA,Single area payment scheme,"362,531.24",GB,GBP
2014,GB-NR13-BECKHITHE FARMS LTD,BECKHITHE FARMS LTD,NR13,NORWICH,RPA,Single area payment scheme,"362,272.74",GB,GBP
2014,GB-PA34-ULVA FARM,ULVA FARM,PA34,OBAN,SGRPID,First afforestation of agricultural land,"362,029.61",GB,GBP
2014,GB-EX1-Instix Dairy Ltd,Instix Dairy Ltd,EX1,EXETER,RPA,Adding value to agricultural and forestry products,"361,793.24",GB,GBP
2015,GB-SO21-F J BUNNEY & SONS,F J BUNNEY & SONS,SO21,Winchester,RPA,Single area payment scheme,"361,549.49",GB,GBP
2015,GB-LN13-J WHARTON (AGRICULTURE) LTD,J WHARTON (AGRICULTURE) LTD,LN13,ALFORD,RPA,Single area payment scheme,"361,373.99",GB,GBP
2015,GB-AB54-J C Innes & Sons,J C Innes & Sons,AB54,HUNTLY,SGRPID,Single area payment scheme,"361,307.42",GB,GBP
2014,GB-LD2-MYNYDD EPYNT GRAZIERS COMMITTEE,MYNYDD EPYNT GRAZIERS COMMITTEE,LD2,POWYS,WG,Agri-environment payments,"361,165.18",GB,GBP
2015,GB-LD2-MYNYDD EPYNT GRAZIERS COMMITTEE,MYNYDD EPYNT GRAZIERS COMMITTEE,LD2,POWYS,WG,Agri-environment payments,"360,868.36",GB,GBP
2014,GB-BH1-Amphibian and Reptile Conservation Trust,Amphibian and Reptile Conservation Trust,BH1,BOURNEMOUTH,RPA,Agri-environment payments,"359,666.55",GB,GBP
2014,GB-RH17-THE NATIONAL TRUST,THE NATIONAL TRUST,RH17,HAYWARDS HEATH,RPA,Non-productive investments,"359,615.23",GB,GBP
2014,GB-G63-Killearn Community Futures Company,Killearn Community Futures Company,G63,Glasgow,SGRPID,Basic services for the economy and rural population,"359,185.49",GB,GBP
2014,GB-BT32-BANBRIDGE DISTRICT COUNCIL,BANBRIDGE DISTRICT COUNCIL,BT32,BANBRIDGE,DARDNI,Implementing local development strategies. Quality of life/diversification,"359,114.06",GB,GBP
2014,GB-CA3-CUMBRIA COUNTY COUNCIL,CUMBRIA COUNTY COUNCIL,CA3,Carlisle,RPA,"Running the local action group, acquiring skills and animating the territory","357,912.03",GB,GBP
2015,GB-IP24-R G ABREY FARMS,R G ABREY FARMS,IP24,THETFORD,RPA,Single area payment scheme,"357,550.07",GB,GBP
2015,GB-LL15-CADWYN CLWYD CYFYNGEDIG LTD,CADWYN CLWYD CYFYNGEDIG LTD,LL15,DENBIGHSHIRE,WG,Implementing local development strategies. Quality of life/diversification,"357,329.01",GB,GBP
2014,GB-BT54-MOYLE DISTRICT COUNCIL,MOYLE DISTRICT COUNCIL,BT54,BALLYCASTLE,DARDNI,Implementing local development strategies. Quality of life/diversification,"355,499.02",GB,GBP
2015,GB-NG32-G R Ward & Co,G R Ward & Co,NG32,GRANTHAM,RPA,Single area payment scheme,"354,915.07",GB,GBP
2014,GB-FK2-Falkirk Whisky Distillery Co Ltd,Falkirk Whisky Distillery Co Ltd,FK2,Falkirk,SGRPID,Adding value to agricultural and forestry products,"354,850.0",GB,GBP
2014,GB-DL2-RABY FARMS,RABY FARMS,DL2,DARLINGTON,RPA,Single area payment scheme,"353,492.2",GB,GBP
2015,GB-PE37-HEYGATE FARMS SWAFFHAM LTD,HEYGATE FARMS SWAFFHAM LTD,PE37,SWAFFHAM,RPA,Single area payment scheme,"353,460.9",GB,GBP
2015,GB-PE9-BURGHLEY HOUSE PRESERVATION TRUST LTD,BURGHLEY HOUSE PRESERVATION TRUST LTD,PE9,STAMFORD,RPA,Investments in physical assets,"353,348.3",GB,GBP
2014,GB-PE32-WESTACRE FARMS,WESTACRE FARMS,PE32,KING'S LYNN,RPA,Single area payment scheme,"353,286.34",GB,GBP
2015,GB-CV34-WARWICKSHIRE COUNTY COUNCIL,WARWICKSHIRE COUNTY COUNCIL,CV34,WARWICK,RPA,Business creation and development,"352,952.04",GB,GBP
2014,GB-SY23-CEREDIGION COUNTY COUNCIL,CEREDIGION COUNTY COUNCIL,SY23,ABERYSTWYTH,WG,Implementing local development strategies. Quality of life/diversification,"352,883.35",GB,GBP
2014,GB-DN36-CAUDWELL (PRODUCE) LTD R,CAUDWELL (PRODUCE) LTD R,DN36,GRIMSBY,RPA,Single area payment scheme,"352,580.0",GB,GBP
2015,GB-TN12-COTTAGE FARMS (HORSMONDEN) LTD,COTTAGE FARMS (HORSMONDEN) LTD,TN12,TONBRIDGE,RPA,Adding value to agricultural and forestry products,"352,468.16",GB,GBP
2014,GB-NE61-ALCAN FARMS LTD,ALCAN FARMS LTD,NE61,MORPETH,RPA,Single area payment scheme,"351,743.9",GB,GBP
2015,GB-AB53-Mr A J Duncan (A Firm),Mr A J Duncan (A Firm),AB53,TURRIFF,SGRPID,Single area payment scheme,"351,557.13",GB,GBP
2014,GB-TR21-The Council of the Isles of Scilly,The Council of the Isles of Scilly,TR21,ISLES OF SCILLY,RPA,Implementing local development strategies. Quality of life/diversification,"351,282.75",GB,GBP
2014,GB-DN22-JOSEPH CAMM FARMS LTD,JOSEPH CAMM FARMS LTD,DN22,RETFORD,RPA,Single area payment scheme,"351,226.92",GB,GBP
2014,GB-DL11-P E & J H HEATHCOTE,P E & J H HEATHCOTE,DL11,RICHMOND,RPA,Non-productive investments,"351,021.13",GB,GBP
2015,GB-AB43-D R F Farmers Ltd,D R F Farmers Ltd,AB43,FRASERBURGH,SGRPID,Single area payment scheme,"351,007.6",GB,GBP
2015,GB-TN36-JACK MERRICKS FARMS RYE LTD,JACK MERRICKS FARMS RYE LTD,TN36,WINCHELSEA,RPA,Agri-environment-climate,"350,652.23",GB,GBP
2014,GB-GL54-STOWELL PARK ESTATE LTD,STOWELL PARK ESTATE LTD,GL54,CHELTENHAM,RPA,Single area payment scheme,"350,155.87",GB,GBP
2014,GB-EH11-The National Trust For Scotland,The National Trust For Scotland,EH11,Edinburgh,SGRPID,Single area payment scheme,"350,141.02",GB,GBP
2014,GB-PE37-HEYGATE FARMS SWAFFHAM LTD,HEYGATE FARMS SWAFFHAM LTD,PE37,SWAFFHAM,RPA,Single area payment scheme,"350,073.81",GB,GBP
2014,GB-LN9-Lincolnshire Wildlife Trust,Lincolnshire Wildlife Trust,LN9,HORNCASTLE,RPA,Agri-environment payments,"349,034.29",GB,GBP
2014,GB-BT47-GREYSTEEL COMMUNITY ENTERPRISES,GREYSTEEL COMMUNITY ENTERPRISES,BT47,LONDONDERRY,DARDNI,Implementing local development strategies. Quality of life/diversification,"348,539.39",GB,GBP
2015,GB-BT64-CRAIGAVON BOROUGH COUNCIL-SOAR,CRAIGAVON BOROUGH COUNCIL-SOAR,BT64,CRAIGAVON,DAERA,"Running the local action group, acquiring skills and animating the territory","347,148.69",GB,GBP
2014,GB-CB2-The Dalham Estate,The Dalham Estate,CB2,Cambridge,RPA,Single area payment scheme,"347,094.92",GB,GBP
2015,GB-CF11-FEDERATION OF CITY FARMS WALES,FEDERATION OF CITY FARMS WALES,CF11,CARDIFF,WG,Adding value to agricultural and forestry products,"346,576.44",GB,GBP
2015,GB-PE12-PROCTOR BROS LONG SUTTON LTD,PROCTOR BROS LONG SUTTON LTD,PE12,SPALDING,RPA,Single area payment scheme,"346,495.53",GB,GBP
2014,GB-NR35-Copyfarm(Blackmore)LTD,Copyfarm(Blackmore)LTD,NR35,BUNGAY,RPA,Single area payment scheme,"345,521.05",GB,GBP
2015,GB-LD3-THE CNEWR ESTATE LTD,THE CNEWR ESTATE LTD,LD3,POWYS,WG,Agri-environment payments,"345,118.87",GB,GBP
2015,GB-GL9-SWANGROVE FARMS,SWANGROVE FARMS,GL9,Badminton,RPA,Single area payment scheme,"345,075.31",GB,GBP
2014,GB-TD15-PENMAR FARMING LIMITED,PENMAR FARMING LIMITED,TD15,BERWICK-UPON-TWEED,RPA,Single area payment scheme,"344,610.51",GB,GBP
2014,GB-PE33-Maurice Mason Ltd,Maurice Mason Ltd,PE33,Kings Lynn,RPA,Single area payment scheme,"344,555.2",GB,GBP
2014,GB-KY10-Kingsbarns Company Of Distillers Ltd,Kingsbarns Company Of Distillers Ltd,KY10,Anstruther,SGRPID,Adding value to agricultural and forestry products,"343,596.0",GB,GBP
2015,GB-ME9-F W Attwood and Partners,F W Attwood and Partners,ME9,Sittingbourne,RPA,Single area payment scheme,"343,009.78",GB,GBP
2014,GB-PE16-A & E G HEADING LTD,A & E G HEADING LTD,PE16,CHATTERIS,RPA,Single area payment scheme,"342,012.86",GB,GBP
2015,GB-CH7-FLINTSHIRE COUNTY COUNCIL,FLINTSHIRE COUNTY COUNCIL,CH7,Wales,WG,Basic services for the economy and rural population,"341,339.47",GB,GBP
2015,GB-BH20-ACF (DRAX FARM),ACF (DRAX FARM),BH20,WAREHAM,RPA,Single area payment scheme,"341,015.69",GB,GBP
2014,GB-LL11-TOMLINSON'S DAIRIES LTD,TOMLINSON'S DAIRIES LTD,LL11,CLWYD,WG,Adding value to agricultural and forestry products,"340,387.91",GB,GBP
2015,GB-FK16-Hawk Farming Ltd,Hawk Farming Ltd,FK16,DOUNE,SGRPID,Single area payment scheme,"340,038.95",GB,GBP
2015,GB-NP8-BLACK MOUNTAINS GRAZIERS ASSOCIATIO,BLACK MOUNTAINS GRAZIERS ASSOCIATIO,NP8,POWYS,WG,Agri-environment payments,"339,267.82",GB,GBP
2014,GB-LN2-TRUELOVE PROPERTY AND CONSTRUCTION LTD,TRUELOVE PROPERTY AND CONSTRUCTION LTD,LN2,LINCOLN,RPA,Single area payment scheme,"338,746.84",GB,GBP
2014,GB-S60-Harworth Estates,Harworth Estates,S60,Rotherham,RPA,First afforestation of non-agricultural land,"338,426.75",GB,GBP
2015,GB-DN36-CAUDWELL (PRODUCE) LTD R,CAUDWELL (PRODUCE) LTD R,DN36,GRIMSBY,RPA,Single area payment scheme,"337,513.26",GB,GBP
2015,GB-PE22-A.E.LENTON ESTATES LTD,A.E.LENTON ESTATES LTD,PE22,BOSTON,RPA,Single area payment scheme,"337,349.3",GB,GBP
2015,GB-OX15-G H DEAN & CO LTD,G H DEAN & CO LTD,OX15,BANBURY,RPA,Single area payment scheme,"336,971.49",GB,GBP
2014,GB-CH3-GROSVENOR FARMS LIMITED,GROSVENOR FARMS LIMITED,CH3,CHESTER,RPA,Modernisation of agricultural holdings,"336,810.43",GB,GBP
2014,GB-SP11-MIDDLETON AND PORTWAY FARMS,MIDDLETON AND PORTWAY FARMS,SP11,ANDOVER,RPA,Single area payment scheme,"336,734.74",GB,GBP
2015,GB-YO17-THE BIRDSALL BEEF CO LTD,THE BIRDSALL BEEF CO LTD,YO17,MALTON,RPA,Single area payment scheme,"336,394.62",GB,GBP
2015,GB-SP5-LONGFORD FARMS LTD,LONGFORD FARMS LTD,SP5,SALISBURY,RPA,Single area payment scheme,"336,315.65",GB,GBP
2015,GB-NG34-THE HAVERHOLME FARM PARTNERSHIP,THE HAVERHOLME FARM PARTNERSHIP,NG34,SLEAFORD,RPA,Single area payment scheme,"336,078.33",GB,GBP
2014,GB-S80-WELBECK ESTATES CO LTD,WELBECK ESTATES CO LTD,S80,WORKSOP,RPA,Single area payment scheme,"335,877.25",GB,GBP
2014,GB-SN10-G COLLINS (FARMS) LTD,G COLLINS (FARMS) LTD,SN10,DEVIZES,RPA,Agri-environment payments,"335,799.35",GB,GBP
2014,GB-NR10-MANOR FARM PARTNERSHIP,MANOR FARM PARTNERSHIP,NR10,NORWICH,RPA,Single area payment scheme,"335,426.83",GB,GBP
2014,GB-TQ9-SOUTH HAMS DISTRICT COUNCIL,SOUTH HAMS DISTRICT COUNCIL,TQ9,TOTNES,RPA,Implementing local development strategies. Quality of life/diversification,"334,152.73",GB,GBP
2014,GB-AB43-James H Fowlie ( A Firm ),James H Fowlie ( A Firm ),AB43,Fraserburgh,SGRPID,Single area payment scheme,"334,123.34",GB,GBP
2014,GB-DE45-Peak District National Park Authority,Peak District National Park Authority,DE45,BAKEWELL,RPA,Agri-environment payments,"333,892.43",GB,GBP
2014,GB-BN7-PLUMPTON COLLEGE,PLUMPTON COLLEGE,BN7,NR LEWES,RPA,Vocational training and information actions,"333,674.81",GB,GBP
2014,GB-S45-Grangeheath Ltd,Grangeheath Ltd,S45,CHESTERFIELD,RPA,Single area payment scheme,"333,296.6",GB,GBP
2014,GB-EH30-The Rosebery Estate Partnership,The Rosebery Estate Partnership,EH30,SOUTH QUEENSFERRY,SGRPID,Single area payment scheme,"333,167.1",GB,GBP
2015,GB-LN6-GH Chennells Farms Ltd,GH Chennells Farms Ltd,LN6,LINCOLN,RPA,Single area payment scheme,"332,853.69",GB,GBP
2015,GB-PE33-Traineast Limited,Traineast Limited,PE33,KING'S LYNN,RPA,Vocational training and information actions,"332,599.27",GB,GBP
2014,GB-GU32-SURREY COUNTY COUNCIL,SURREY COUNTY COUNCIL,GU32,PETERSFIELD,RPA,Encouragement of tourism activities,"332,417.78",GB,GBP
2014,GB-CF62-V J THOMAS AND SON,V J THOMAS AND SON,CF62,SOUTH GLAMORGAN,WG,Single area payment scheme,"332,262.39",GB,GBP
2015,GB-NG32-Terrace Hills Farm LLP,Terrace Hills Farm LLP,NG32,GRANTHAM,RPA,Single area payment scheme,"332,156.66",GB,GBP
2015,GB-MK17-WOBURN FARMING PARTNERSHIP,WOBURN FARMING PARTNERSHIP,MK17,WOBURN,RPA,Single area payment scheme,"332,115.07",GB,GBP
2015,GB-OX15-TRUSTEES OF A DEELEY,TRUSTEES OF A DEELEY,OX15,BANBURY,RPA,Single area payment scheme,"331,962.7",GB,GBP
